# g + 226Ra: Production of 225Ra - Total
# Q-value    =-6.39679E+00 mass= 225.023611
# E-threshold= 6.39679E+00
# # energies =    54
#     E          xs
 0.00000E+00 0.00000E+00
 2.50000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 2.17975E+01
 8.00000E+00 4.00038E+01
 9.00000E+00 7.68992E+01
 1.00000E+01 1.54655E+02
 1.10000E+01 2.88356E+02
 1.20000E+01 2.79596E+02
 1.25000E+01 2.04980E+02
 1.30000E+01 1.43519E+02
 1.35000E+01 9.42041E+01
 1.40000E+01 6.38701E+01
 1.45000E+01 4.52817E+01
 1.50000E+01 3.29093E+01
 1.55000E+01 2.45919E+01
 1.60000E+01 1.86212E+01
 1.65000E+01 1.45071E+01
 1.70000E+01 1.16436E+01
 1.75000E+01 9.54769E+00
 1.80000E+01 7.99285E+00
 1.90000E+01 5.88239E+00
 2.00000E+01 4.54029E+00
 2.20000E+01 2.96415E+00
 2.40000E+01 2.12732E+00
 2.60000E+01 1.58924E+00
 2.80000E+01 1.22406E+00
 3.00000E+01 9.92089E-01
 3.50000E+01 6.14693E-01
 4.00000E+01 4.01319E-01
 4.50000E+01 2.68618E-01
 5.00000E+01 1.85652E-01
 5.50000E+01 1.49284E-01
 6.00000E+01 1.09633E-01
 6.50000E+01 9.69826E-02
 7.00000E+01 7.75929E-02
 7.50000E+01 7.17225E-02
 8.00000E+01 5.75442E-02
 9.00000E+01 4.58175E-02
 1.00000E+02 3.77302E-02
 1.10000E+02 2.87518E-02
 1.20000E+02 2.54244E-02
 1.30000E+02 2.07414E-02
 1.40000E+02 1.79818E-02
 1.50000E+02 1.52556E-02
 1.60000E+02 1.19652E-02
 1.80000E+02 9.33677E-03
 2.00000E+02 5.24386E-03
