[ T-Track ]
    title = [t-track] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg = 341
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
   2.9500E+01   3.0000E+01   7.4885E+05  0.0285
   3.0000E+01   3.0500E+01   7.1776E+05  0.0291
   3.0500E+01   3.1000E+01   6.5055E+05  0.0305
   3.1000E+01   3.1500E+01   6.4769E+05  0.0306
   3.1500E+01   3.2000E+01   5.6243E+05  0.0328
   3.2000E+01   3.2500E+01   5.7648E+05  0.0324
   3.2500E+01   3.3000E+01   5.0474E+05  0.0347
   3.3000E+01   3.3500E+01   4.6340E+05  0.0362
   3.3500E+01   3.4000E+01   4.3711E+05  0.0373
   3.4000E+01   3.4500E+01   3.9285E+05  0.0393
   3.4500E+01   3.5000E+01   3.6297E+05  0.0409
   3.5000E+01   3.5500E+01   3.4403E+05  0.0420
   3.5500E+01   3.6000E+01   2.9236E+05  0.0455
   3.6000E+01   3.6500E+01   2.5244E+05  0.0490
   3.6500E+01   3.7000E+01   1.9652E+05  0.0555
   3.7000E+01   3.7500E+01   1.4553E+05  0.0645
   3.7500E+01   3.8000E+01   8.2974E+04  0.0854
   3.8000E+01   3.8500E+01   4.7234E+04  0.1132
   3.8500E+01   3.9000E+01   3.6284E+03  0.4082
   3.9000E+01   3.9500E+01   0.0000E+00  0.0000
   3.9500E+01   4.0000E+01   0.0000E+00  0.0000
   4.0000E+01   4.0500E+01   0.0000E+00  0.0000
   4.0500E+01   4.1000E+01   0.0000E+00  0.0000
   4.1000E+01   4.1500E+01   0.0000E+00  0.0000
   4.1500E+01   4.2000E+01   0.0000E+00  0.0000
   4.2000E+01   4.2500E+01   0.0000E+00  0.0000
   4.2500E+01   4.3000E+01   0.0000E+00  0.0000
   4.3000E+01   4.3500E+01   0.0000E+00  0.0000
   4.3500E+01   4.4000E+01   0.0000E+00  0.0000
   4.4000E+01   4.4500E+01   0.0000E+00  0.0000
   4.4500E+01   4.5000E+01   0.0000E+00  0.0000
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000

#   sum over                 5.2907E+06

'no. =  1,  reg  =    341'
msuc: {\huge [t-track] in region mesh}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.28}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.27446300715924002E-09 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+06 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0101101000001110011101111011110101001001010001111010111000101101 # bit data of rseed
